collision_index,collision_year,location_easting_osgr,location_northing_osgr,collision_severity,number_of_vehicles,number_of_casualties,day_of_week,local_authority_highway_current,first_road_class,first_road_number,road_type,speed_limit,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,trunk_road_flag,collision_injury_based,hour_of_day,month,is_weekend,time_period,multi_vehicle
201514K250915,2015,1.0,1.0,3,0.5,1,4,E08000019,6,0,6,30,16,4,6,0,11.0,1,1,1,0,0,1,1,2.0,0,14,10,0,1,0
201514K341415,2015,1.0,1.0,3,0.5,1,4,E08000019,6,0,6,30,13,4,6,0,0.0,1,1,2,0,0,1,1,2.0,0,14,12,0,1,0
201514K110515,2015,1.0,0.8376321353065634,3,0.5,1,6,E08000019,4,6068,3,40,13,4,6,0,0.0,1,1,1,0,0,1,1,2.0,0,17,3,0,2,0
201514K011715,2015,1.0,1.0,2,0.5,1,7,E08000019,3,6135,6,30,13,4,6,0,14.0,1,1,2,0,0,1,1,2.0,0,11,1,1,0,0
201514K333215,2015,0.4252296819787915,1.0,1,0.5,1,1,E08000019,3,57,6,50,0,4,0,-1,0.0,6,2,2,0,0,2,1,2.0,0,1,12,1,3,0
201514K167315,2015,1.0,1.0,3,0.5,1,2,E08000019,3,6135,6,30,13,2,6,0,0.0,1,1,1,0,0,1,1,2.0,0,18,7,0,2,0
201514K301615,2015,1.0,1.0,3,0.5,1,6,E08000019,6,0,6,30,13,4,6,0,0.0,1,1,1,0,0,1,1,2.0,0,13,11,0,1,0
201514K245615,2015,1.0,1.0,3,0.5,1,5,E08000019,6,0,6,30,13,4,6,0,0.0,1,1,1,0,0,1,1,2.0,0,15,10,0,1,0
201514K191515,2015,1.0,1.0,3,0.5,1,7,E08000019,3,6135,6,30,13,4,6,0,0.0,4,9,2,0,0,1,1,2.0,0,23,8,1,3,0
201514K226915,2015,1.0,1.0,3,0.5,1,3,E08000019,4,6064,6,30,13,4,6,0,0.0,7,1,1,0,0,1,1,2.0,0,5,9,0,3,0
201514K077615,2015,1.0,1.0,3,0.5,1,5,E08000019,4,6071,6,30,0,4,0,-1,0.0,1,1,1,0,0,1,1,2.0,0,6,4,0,0,0
201514K095115,2015,1.0,1.0,3,0.5,1,7,E08000019,3,6102,6,30,0,4,0,-1,0.0,1,1,1,0,0,1,1,2.0,0,17,4,1,2,0
201514K170315,2015,1.0,1.0,3,0.5,1,5,E08000019,3,61,1,40,0,2,4,6539,0.0,1,1,1,0,0,1,2,2.0,0,7,7,0,0,0
201514K107715,2015,1.0,1.0,3,0.5,1,2,E08000019,4,6082,6,40,13,4,6,0,0.0,1,1,1,0,0,1,1,2.0,0,17,5,0,2,0
201514K103315,2015,1.0,1.0,3,0.5,1,4,E08000019,6,0,6,30,0,4,0,-1,0.0,1,2,2,0,0,1,1,2.0,0,8,4,0,0,0
201514K334715,2015,0.8464310954063592,1.0,3,0.5,1,3,E08000019,3,57,6,30,16,4,6,0,0.0,7,1,2,0,0,1,1,2.0,0,6,12,0,0,0
201514K085915,2015,1.0,1.0,3,0.5,1,3,E08000019,3,6101,6,30,13,4,6,0,0.0,1,1,1,0,0,1,2,2.0,0,17,4,0,2,0
201514K095815,2015,1.0,1.0,3,0.5,1,6,E08000019,6,0,6,30,16,2,6,0,0.0,1,1,1,0,0,1,1,2.0,0,12,4,0,1,0
201514K206615,2015,1.0,1.0,3,0.5,1,1,E08000019,6,0,6,30,16,4,6,0,0.0,4,1,1,0,0,1,1,2.0,0,2,8,1,3,0
201514K056415,2015,0.8628268551236715,1.0,3,0.5,1,5,E08000019,3,6102,6,40,0,4,0,-1,0.0,4,1,1,0,0,1,1,2.0,0,22,3,0,3,0
201514K135015,2015,1.0,0.4147991543340481,3,0.5,1,1,E08000019,6,0,6,30,0,4,0,-1,0.0,4,1,1,0,0,1,1,2.0,0,22,6,1,3,0
201514K279115,2015,1.0,1.0,3,0.5,1,5,E08000019,3,57,3,50,0,4,0,-1,0.0,4,2,2,0,0,1,1,2.0,0,17,11,0,2,0
